ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
44551,201208,1,,,,0.0,0,Rango_SDO_03,48410,49000,50000,37100,0,0,1,1,1,1,0,0,Rango_04,0,4,6,1,1,0,0,1,1,1,3,0,0,4,2,9,12,0,0,2,2,2,2,0,0,1,1,1,1,0,0
17095,201208,0,,Lima,45.0,0.0,0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76137,201208,1,Rang_ingreso_02,Lima,38.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
24969,201208,1,Rang_ingreso_03,Provincia,67.0,0.0,0,Cero,0,0,0,0,0,0,1,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1
51667,201208,1,Rang_ingreso_02,Lima,38.0,1.0,1,Cero,25330,28020,6770,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24472,201208,1,Rang_ingreso_05,Lima,33.0,8.0,0,Cero,90,260,240,40,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,1,1,1,1,1,1
99427,201208,0,,Lima,25.0,6.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,3,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0
51554,201208,1,Rang_ingreso_01,Provincia,52.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,1,0,0,0,0,0,Rango_03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
78497,201208,1,Rang_ingreso_01,Lima,57.0,10.0,0,Cero,2030,2180,2320,2450,2590,2720,0,0,1,1,1,1,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,1,1,1,1,1,1
83751,201208,1,Rang_ingreso_06,Lima,24.0,1.0,0,Cero,15090,15790,16340,17110,17810,0,1,1,1,1,1,1,Rango_04,0,0,4,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1
74275,201208,1,Rang_ingreso_03,Lima,26.0,,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,1,0,0,0,0,4,9,5,4,5,5,0,0,1,0,0,1,2,3,2,2,2,2,1,1,1,1,1,1
84367,201208,0,,Provincia,25.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28607,201208,0,Rang_ingreso_01,Provincia,,1.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,2,0,3,3,1,2,0,0,0,0,0,0,3,5,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0
73207,201208,1,Rang_ingreso_03,Lima,23.0,3.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,1,4,1,2,4,6,2,4,0,6,8,7,13,14,15,18,27,13,1,2,2,2,1,1,1,1,1,1,0,0
64980,201208,1,Rang_ingreso_04,Lima,54.0,0.0,0,Cero,0,0,0,0,0,0,1,1,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,5,5,5,5,1,1,1,1,1,1
38815,201208,1,Rang_ingreso_03,Lima,40.0,0.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,1,1,1,1,1,1
51177,201208,1,Rang_ingreso_03,Provincia,25.0,1.0,0,Rango_SDO_01,9030,9310,9630,9910,10240,10650,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,0,0,1,1,1,1
86026,201208,1,Rang_ingreso_05,Lima,26.0,6.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1
35571,201208,1,Rang_ingreso_01,Lima,55.0,0.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
86862,201208,1,Rang_ingreso_07,Lima,38.0,10.0,0,Rango_SDO_11,750,410,3110,660,1720,2030,1,1,1,1,1,1,Rango_04,1,7,6,7,9,4,8,0,0,0,0,0,0,10,11,16,9,6,10,4,4,4,4,4,4,1,1,0,1,1,0
3163,201208,1,Rang_ingreso_03,Lima,30.0,9.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,36,39,30,31,40,31,1,1,1,1,1,1,0,0,0,0,0,0
13262,201208,1,Rang_ingreso_04,Lima,59.0,,1,Cero,0,0,0,0,0,0,1,1,1,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,1,1,1,1,1,1
18346,201208,1,Rang_ingreso_03,Lima,39.0,0.0,0,Cero,0,0,0,0,0,0,1,1,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,1,1,1,1,1,1
11029,201208,1,,Lima,57.0,5.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,1,3,4,1,1,1,1,1,1,0,0,0,0,0,0
48058,201208,1,Rang_ingreso_04,Provincia,42.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66036,201208,1,Rang_ingreso_03,Lima,51.0,8.0,0,Rango_SDO_07,2660,2090,0,0,20,140,1,1,1,1,1,1,Rango_04,1,7,5,5,5,5,6,0,0,0,0,0,0,6,7,5,8,15,4,5,5,5,5,5,5,1,1,1,1,1,1
46785,201208,1,Rang_ingreso_03,Lima,30.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79037,201208,1,Rang_ingreso_07,Provincia,39.0,5.0,0,Rango_SDO_14,0,0,0,0,0,0,1,1,1,1,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,3,3,2,1,1,0,0,0,0,0,0
42045,201208,1,Rang_ingreso_04,Lima,41.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,6,6,6,6,1,1,1,1,1,1
94153,201208,1,Rang_ingreso_02,Provincia,39.0,0.0,1,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1
4110,201208,1,Rang_ingreso_01,Provincia,43.0,0.0,0,Cero,0,0,0,0,0,0,1,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0
23867,201208,1,Rang_ingreso_06,Provincia,28.0,4.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,4,1,4,4,1,7,0,0,0,0,0,0,16,19,12,23,18,21,1,1,1,1,1,1,0,0,0,0,0,0
9260,201208,1,Rang_ingreso_06,Lima,31.0,5.0,0,Rango_SDO_07,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,2,2,1,3,0,0,0,0,0,0,30,35,25,23,38,34,2,2,2,2,2,3,0,0,0,0,0,1
55759,201208,0,Rang_ingreso_02,Provincia,38.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19294,201208,1,Rang_ingreso_02,Lima,35.0,0.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,2,2,2,2,2,1,1,1,1,1,1
77546,201208,1,Rang_ingreso_01,Provincia,57.0,0.0,0,Rango_SDO_14,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
4547,201208,1,Rang_ingreso_01,Provincia,31.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
57964,201208,1,Rang_ingreso_03,Provincia,33.0,0.0,0,Rango_SDO_01,0,0,0,3230,0,0,1,1,1,1,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0
66415,201208,1,,Lima,49.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0
7587,201208,0,,Provincia,24.0,0.0,0,Rango_SDO_07,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6945,201208,1,Rang_ingreso_01,Provincia,29.0,0.0,0,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
96414,201208,1,Rang_ingreso_09,Lima,32.0,8.0,0,Rango_SDO_14,616400,621450,624280,40290,0,1500,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,3,3,0,3,3,9,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
17388,201208,1,,Lima,,0.0,0,Rango_SDO_06,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73708,201208,1,Rang_ingreso_06,Provincia,45.0,8.0,1,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
17784,201208,1,Rang_ingreso_01,Lima,31.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0
13813,201208,1,Rang_ingreso_05,Provincia,49.0,1.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,6,6,6,6,1,1,1,1,1,1
35478,201208,1,Rang_ingreso_03,Lima,39.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,9,11,1,1,1,7,0,0,0,0,0,0,18,16,12,14,10,7,5,5,5,5,5,5,1,1,1,1,1,1
21573,201208,1,Rang_ingreso_02,Lima,45.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,21,14,20,15,14,8,3,3,3,3,3,3,1,1,1,1,1,1
66705,201208,1,Rang_ingreso_02,Lima,28.0,6.0,0,Rango_SDO_01,1340,5660,5930,5130,4180,4390,1,1,1,1,1,1,Rango_05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,13,9,11,4,4,3,3,3,3,1,1,1,1,1,1
1487,201208,1,Rang_ingreso_02,Lima,24.0,2.0,0,Rango_SDO_04,2800,2840,2890,2940,2980,3020,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,18,20,10,12,12,17,4,16,11,14,7,22,4,4,5,5,5,4,1,1,1,1,1,1
29321,201208,0,,Provincia,33.0,0.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93483,201208,1,Rang_ingreso_04,Provincia,24.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,4,5,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29812,201208,0,Rang_ingreso_01,Provincia,51.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36609,201208,0,Rang_ingreso_01,Lima,,0.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,1,0,0,0,0,0,0,0,27,26,20,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,201208,1,Rang_ingreso_02,Lima,45.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34790,201208,1,Rang_ingreso_01,Lima,37.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,5,5,5,5,6,6,1,0,0,1,1,1
73315,201208,1,Rang_ingreso_01,Provincia,39.0,6.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,7,3,7,2,2,2,1,1,1,1,1,1,1,1,1
66172,201208,0,,Lima,24.0,0.0,1,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,6,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10373,201208,1,Rang_ingreso_03,Lima,41.0,0.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,2,2,2,2,1,0,1,1,1,1
98978,201208,1,Rang_ingreso_03,Provincia,34.0,2.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,0,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,6,0,3,3,3,3,2,2,1,1,1,1,1,1
20400,201208,1,Rang_ingreso_01,Lima,27.0,0.0,0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,1,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,1,1,1,1,1,0,1,1,1,1,1
81262,201208,1,Rang_ingreso_05,Lima,31.0,6.0,0,Rango_SDO_14,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,9,4,6,2,1,2,3,2,2,16,12,9,1,1,8,4,2,1,1,1,1,2,2,2,1,1,1,1,1,1
68162,201208,0,,Provincia,47.0,0.0,1,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55547,201208,0,,,,0.0,0,Rango_SDO_09,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
